video_id,block,animal,date,time,day_num,trial,trial_type,PlatformQuadrant,StartLocation,Comments,Distance moved Center-point Total cm,Velocity Center-point Mean cm/s,Distance to point Arena (Center) / Center-point Mean cm,Distance to point Arena (Center) / Center-point Total cm,Distance to point SE Platform (Center) / Center-point Mean cm,Distance to point SE Platform (Center) / Center-point Total cm,Distance to point NW Platform (Center) / Center-point Mean cm,Distance to point NW Platform (Center) / Center-point Total cm,Distance to point NE Platform (Center) / Center-point Mean cm,Distance to point NE Platform (Center) / Center-point Total cm,Distance to point SW Platform (Center) / Center-point Mean cm,Distance to point SW Platform (Center) / Center-point Total cm,In zone Arena / Center-point Frequency,In zone Arena / Center-point Cumulative Duration s,In zone Arena / Center-point Latency to First s,In zone Arena / Center-point Cumulative Duration %,In zone NW Quad / Center-point Frequency,In zone NW Quad / Center-point Cumulative Duration s,In zone NW Quad / Center-point Latency to First s,In zone NW Quad / Center-point Cumulative Duration %,In zone NE Quad / Center-point Frequency,In zone NE Quad / Center-point Cumulative Duration s,In zone NE Quad / Center-point Latency to First s,In zone NE Quad / Center-point Cumulative Duration %,In zone SE Quad / Center-point Frequency,In zone SE Quad / Center-point Cumulative Duration s,In zone SE Quad / Center-point Latency to First s,In zone SE Quad / Center-point Cumulative Duration %,In zone SW Quad / Center-point Frequency,In zone SW Quad / Center-point Cumulative Duration s,In zone SW Quad / Center-point Latency to First s,In zone SW Quad / Center-point Cumulative Duration %,In zone SW Annulus / Center-point Frequency,In zone SW Annulus / Center-point Cumulative Duration s,In zone SW Annulus / Center-point Latency to First s,In zone SW Annulus / Center-point Cumulative Duration %,In zone SE Annulus / Center-point Frequency,In zone SE Annulus / Center-point Cumulative Duration s,In zone SE Annulus / Center-point Latency to First s,In zone SE Annulus / Center-point Cumulative Duration %,In zone NE Annulus / Center-point Frequency,In zone NE Annulus / Center-point Cumulative Duration s,In zone NE Annulus / Center-point Latency to First s,In zone NE Annulus / Center-point Cumulative Duration %,In zone NW Annulus / Center-point Frequency,In zone NW Annulus / Center-point Cumulative Duration s,In zone NW Annulus / Center-point Latency to First s,In zone NW Annulus / Center-point Cumulative Duration %,EscapeLatency(s),DistanceMoved(cm),Velocity(cm/s),TotalSearchError(cm*s),MeanSearchError(cm),ProbeWeight,MeanSearchError*ProbeWeight,TimeInQuad(%),TimeInOppoQuad(%),TimeInPrevQuad(%),SLI,rat_source,dob,date_received,sex,AgeMon,strain,genotype,DailyAgeMos,age_mo,group
Statistics-NRIP3A_MWM_SLI_Day04.xlsx,Block2,A105,44254,8:00:00 AM,Day04,Trial2,Train,SW,W,,173.967,16.3896,65.0654,20755.9,76.4517,24388.1,81.0571,25857.2,99.7731,31827.6,31.0132,9893.2,1,10.6478,0,100,0,0,-,0,0,0,-,0,0,0,-,0,1,8.6117,0,80.8777,1,0.233651,8.6117,2.19436,0,0,-,0,0,0,-,0,0,0,-,0,10.6478,173.967,16.3896,214.187341,30.92543752,,,,,,229,NIA,4/5/2019,5-Feb,M,22,F344,WT,22.80144562,23,Older-Aged
Statistics-NRIP3A_MWM_SLI_Day04.xlsx,Block2,A105,44254,8:00:00 AM,Day04,Trial3,Probe,SW,N,,766.547,25.5515,50.699,45629.1,68.4776,61629.8,57.4389,51695,67.7195,60947.5,57.1598,51443.9,1,30.0334,0,100,4,11.6463,0,38.7778,2,3.07009,9.24363,10.2222,2,7.27477,10.9789,24.2222,4,7.97555,3.90435,26.5556,1,0.066741,26.7631,0.222222,0,0,-,0,0,0,-,0,0,0,-,0,30.0334,766.547,25.5515,1461.883076,57.08037224,1.1,62.78840946,26.5556,10.2222,,229,NIA,4/5/2019,5-Feb,M,22,F344,WT,22.80144562,23,Older-Aged
Statistics-NRIP3A_MWM_SLI_Day05.xlsx,Block3,A105,44255,8:00:00 AM,Day05,Trial1,Train,SW,E,,216.787,23.5405,63.1086,17481.1,56.403,15623.6,90.651,25110.3,84.4384,23389.4,42.8331,11864.8,1,9.24244,0,100,0,0,-,0,1,0.633957,0,6.8592,1,2.83613,0.633957,30.6859,1,3.73701,3.47008,40.4332,1,0.166831,7.2071,1.80505,0,0,-,0,0,0,-,0,0,0,-,0,9.24244,216.787,23.5405,121.1286558,27.26770479,,,,,,229,NIA,4/5/2019,5-Feb,M,22,F344,WT,22.83430073,23,Older-Aged
Statistics-NRIP3A_MWM_SLI_Day05.xlsx,Block3,A105,44255,8:00:00 AM,Day05,Trial2,Train,SW,N,,1193.36,26.0319,60.4004,83050.5,73.1237,100545,71.1922,97889.3,63.2419,86957.6,70.9926,97614.8,1,45.8756,0,100,5,7.87393,0,17.1636,5,17.7163,0.867466,38.6182,5,5.80535,3.9036,12.6545,3,10.7099,5.13807,23.3455,1,0.233549,43.8404,0.509092,3,0.467097,28.7265,1.01818,1,0.433734,2.9694,0.945456,2,0.200186,9.9425,0.436367,45.8756,1193.36,26.0319,3005.548631,72.36222772,,,,,,229,NIA,4/5/2019,5-Feb,M,22,F344,WT,22.83430073,23,Older-Aged
Statistics-NRIP3A_MWM_SLI_Day05.xlsx,Block3,A105,44255,8:00:00 AM,Day05,Trial3,Train,SW,W,,196.554,20.0403,47.7763,14094,68.9088,20328.1,62.2879,18374.9,82.1686,24239.7,28.4132,8381.91,1,9.84132,0,100,1,2.23515,1.03417,22.7119,0,0,-,0,1,0.433686,4.23677,4.40679,3,5.1375,0,52.2034,2,0.300243,7.80633,3.05084,0,0,-,0,0,0,-,0,0,0,-,0,9.84132,196.554,20.0403,184.653358,27.16507894,,,,,,229,NIA,4/5/2019,5-Feb,M,22,F344,WT,22.83430073,23,Older-Aged
Statistics-NRIP3A_MWM_SLI_Day06.xlsx,Block3,A105,44256,8:00:00 AM,Day06,Trial1,Train,SW,W,,387.474,23.5489,53.4578,26408.2,66.4256,32814.2,71.2158,35180.6,72.0415,35588.5,45.9115,22680.3,1,16.4874,0,100,1,1.46851,1.46851,8.90688,2,3.07053,2.93703,18.6235,1,2.00252,6.50818,12.1457,2,7.40932,0,44.9393,2,0.934508,14.4515,5.66801,0,0,-,0,2,0.166877,3.50441,1.01215,0,0,-,0,16.4874,387.474,23.5489,675.2362073,48.58847222,,,,,,229,NIA,4/5/2019,5-Feb,M,22,F344,WT,22.86715584,23,Older-Aged
Statistics-NRIP3A_MWM_SLI_Day06.xlsx,Block3,A105,44256,8:00:00 AM,Day06,Trial2,Train,SW,E,,553.276,22.2507,52.7885,39380.2,50.9509,38009.4,81.2277,60595.9,60.0029,44762.2,59.784,44598.9,1,24.8989,0,100,1,1.23493,14.0182,4.95978,3,6.10792,0,24.5308,4,9.01168,0.934544,36.193,3,6.50844,3.73818,26.1394,1,0.267012,22.863,1.07238,0,0,-,0,0,0,-,0,0,0,-,0,24.8989,553.276,22.2507,1196.4737,60.36574497,,,,,,229,NIA,4/5/2019,5-Feb,M,22,F344,WT,22.86715584,23,Older-Aged
Statistics-NRIP3A_MWM_SLI_Day06.xlsx,Block3,A105,44256,8:00:00 AM,Day06,Trial3,Probe,SW,S,,671.558,22.3785,56.6837,51015.3,51.5677,46410.9,84.1007,75690.6,80.5194,72467.5,44.2621,39835.9,1,30.0424,0,100,2,1.76917,17.8919,5.88889,1,1.50212,18.8934,5,4,13.7528,0,45.7778,5,12.3508,0.968034,41.1111,2,0.500707,7.0099,1.66667,0,0,-,0,0,0,-,0,0,0,-,0,30.0424,671.558,22.3785,1242.913699,45.50035844,1.25,56.87544806,41.1111,5,,229,NIA,4/5/2019,5-Feb,M,22,F344,WT,22.86715584,23,Older-Aged
Statistics-NRIP3A_MWM_SLI_Day07.xlsx,Block4,A105,44257,8:00:00 AM,Day07,Trial1,Train,SW,S,,2094.34,23.2633,62.9504,169966,74.2717,200534,70.6863,190853,78.4188,211731,64.0231,172862,1,90.0612,0,100,7,25.8175,19.6467,28.6667,7,10.9408,22.582,12.1481,9,23.049,0,25.5926,8,26.4513,0.800544,29.3704,0,0,-,0,4,0.567052,46.0313,0.62963,5,1.06739,23.3492,1.18519,2,0.266848,21.1143,0.296296,90.0612,2094.34,23.2633,5680.312429,64.96311218,,,,,,229,NIA,4/5/2019,5-Feb,M,22,F344,WT,22.90001095,23,Older-Aged
Statistics-NRIP3A_MWM_SLI_Day07.xlsx,Block4,A105,44257,8:00:00 AM,Day07,Trial2,Train,SW,N,,641.539,22.2221,51.3743,44490.2,59.318,51369.4,66.0448,57194.8,54.9878,47619.5,67.0849,58095.5,1,28.9027,0,99.5402,3,6.74175,0.166875,23.2184,6,6.17437,0.1335,21.2644,4,7.54275,11.2474,25.977,2,4.1385,14.9186,14.2529,1,0.20025,27.0004,0.689655,2,0.33375,12.0817,1.14943,4,0.901125,9.94575,3.10345,0,0,-,0,28.9027,641.539,22.2221,1645.989502,69.10790859,,,,,,229,NIA,4/5/2019,5-Feb,M,22,F344,WT,22.90001095,23,Older-Aged
Statistics-NRIP3A_MWM_SLI_Day07.xlsx,Block4,A105,44257,8:00:00 AM,Day07,Trial3,Train,SW,E,,539.073,25.085,59.184,38173.7,54.9813,35463,81.2747,52422.2,57.4624,37063.2,76.0726,49066.8,1,21.5232,0,100,2,2.26911,4.97202,10.5426,3,6.64049,4.6717,30.8527,4,8.4758,0,39.3798,1,1.13456,18.3531,5.27132,1,0.367062,19.4877,1.70543,2,0.333693,2.0689,1.55039,0,0,-,0,0,0,-,0,21.5232,539.073,25.085,1377.975656,80.96920216,,,,,,229,NIA,4/5/2019,5-Feb,M,22,F344,WT,22.90001095,23,Older-Aged
Statistics-NRIP3A_MWM_SLI_Day08.xlsx,Block4,A105,44258,8:00:00 AM,Day08,Trial1,Train,SW,E,,1520.7,22.9546,60.1244,119467,63.661,126495,77.4295,153852,65.1092,129372,66.6743,132482,1,66.2815,0,100,4,7.10517,17.6128,10.7197,5,20.3815,0,30.7499,7,16.1784,0.733867,24.4087,4,18.7803,12.6092,28.3342,1,0.166788,64.2467,0.251636,3,0.767225,2.80204,1.15752,0,0,-,0,2,0.333576,18.6135,0.503271,66.2815,1520.7,22.9546,4134.747761,67.3864522,,,,,,229,NIA,4/5/2019,5-Feb,M,22,F344,WT,22.93286606,23,Older-Aged
Statistics-NRIP3A_MWM_SLI_Day08.xlsx,Block4,A105,44258,8:00:00 AM,Day08,Trial2,Train,SW,W,,80.9129,13.0327,62.6508,11715.7,88.7904,16603.8,68.0542,12726.1,99.4245,18592.4,31.5443,5898.79,1,6.24182,0,100,0,0,-,0,0,0,-,0,0,0,-,0,1,4.20572,0,67.3797,1,0.200272,4.20572,3.20855,0,0,-,0,0,0,-,0,0,0,-,0,6.24182,80.9129,13.0327,51.64187502,33.0765065,,,,,,229,NIA,4/5/2019,5-Feb,M,22,F344,WT,22.93286606,23,Older-Aged
Statistics-NRIP3A_MWM_SLI_Day08.xlsx,Block4,A105,44258,8:00:00 AM,Day08,Trial3,Probe,SW,N,,760.149,25.3114,68.2559,61498.6,81.2971,73248.7,74.1902,66845.3,70.5055,63525.5,80.0427,72118.5,1,30.0652,0,100,3,6.34005,0,21.0877,2,10.4778,0.734111,34.8502,2,5.70605,6.40679,18.9789,3,7.07416,7.30774,23.5294,1,0.467161,8.10859,1.55383,0,0,-,0,0,0,-,0,0,0,-,0,30.0652,760.149,25.3114,2148.653877,83.92914154,1.3,109.107884,23.5294,34.8502,,229,NIA,4/5/2019,5-Feb,M,22,F344,WT,22.93286606,23,Older-Aged
Statistics-NRIP3A_MWM_CUE_Day09.xlsx,Block6,A105,44259,8:00:00 AM,Day09,Trial1,Cue,SE,N,,164.912,16.3076,64.3166,19552.3,39.2311,11926.3,114.507,34810.1,61.9005,18817.8,105.54,32084.1,1,10.1459,0,100,1,0.266998,0,2.63158,2,3.43761,0.266998,33.8816,2,3.50435,4.17185,34.5395,0,0,-,0,0,0,-,0,2,2.46974,6.37459,24.3421,2,0.200249,1.23487,1.97369,0,0,-,0,10.1459,164.912,16.3076,,,,,,,,229,NIA,4/5/2019,5-Feb,M,22,F344,WT,22.96572117,23,Older-Aged
Statistics-NRIP3A_MWM_CUE_Day09.xlsx,Block6,A105,44259,8:00:00 AM,Day09,Trial2,Cue,SW,E,,230.487,24.5562,59.1931,16692.5,86.662,24438.7,81.1379,22880.9,67.7501,19105.5,76.062,21449.5,1,9.4195,0,100,1,1.77033,4.0083,18.7943,2,3.77448,0,40.0709,0,0,-,0,1,1.60332,5.77863,17.0213,1,0.634648,7.38195,6.73759,0,0,-,0,1,0.233818,3.03963,2.48228,0,0,-,0,9.4195,230.487,24.5562,,,,,,,,229,NIA,4/5/2019,5-Feb,M,22,F344,WT,22.96572117,23,Older-Aged
Statistics-NRIP3A_MWM_CUE_Day09.xlsx,Block6,A105,44259,8:00:00 AM,Day09,Trial3,Cue,NE,S,,247.086,24.6683,65.2202,19631.3,99.6519,29995.2,71.477,21514.6,81.9378,24663.3,69.068,20789.5,1,10.0497,0,100,1,2.40392,4.84123,23.9203,1,0.76792,7.24515,7.6412,1,0.100163,0,0.996674,1,4.74107,0.100163,47.1761,0,0,-,0,0,0,-,0,1,0.30049,8.01307,2.99003,0,0,-,0,10.0497,247.086,24.6683,,,,,,,,229,NIA,4/5/2019,5-Feb,M,22,F344,WT,22.96572117,23,Older-Aged
Statistics-NRIP3A_MWM_CUE_Day09.xlsx,Block6,A105,44259,8:00:00 AM,Day09,Trial4,Cue,NW,E,,186.009,20.8548,62.7164,16808,92.374,24756.2,71.1629,19071.7,49.7335,13328.6,108.846,29170.7,1,8.95267,0,100,1,1.73709,5.17785,19.403,2,4.67677,0,52.2388,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-,0,2,0.300649,4.00866,3.3582,3,1.30281,6.91494,14.5522,8.95267,186.009,20.8548,,,,,,,,229,NIA,4/5/2019,5-Feb,M,22,F344,WT,22.96572117,23,Older-Aged
Statistics-NRIP3A_MWM_CUE_Day09.xlsx,Block6,A105,44259,8:00:00 AM,Day09,Trial5,Cue,SE,W,,287.622,26.4164,70.9158,23189.5,78.6422,25716,86.9705,28439.3,67.9188,22209.4,106.05,34678.3,1,10.9214,0,100,2,2.53831,0.734773,23.2416,1,3.80746,3.84086,34.8624,3,2.23772,7.64832,20.4893,1,0.734773,0,6.72782,0,0,-,0,2,1.03536,8.75048,9.48013,0,0,-,0,2,0.233792,1.77014,2.14068,10.9214,287.622,26.4164,,,,,,,,229,NIA,4/5/2019,5-Feb,M,22,F344,WT,22.96572117,23,Older-Aged
Statistics-NRIP3A_MWM_CUE_Day09.xlsx,Block6,A105,44259,8:00:00 AM,Day09,Trial6,Cue,NW,S,,141.598,21.6177,62.7298,12357.8,99.6946,19639.8,52.1714,10277.8,106.02,20885.9,49.3752,9726.92,1,6.58352,0,100,1,0.768635,3.80975,11.6751,0,0,-,0,1,0.30077,0,4.56853,2,2.94086,0.30077,44.67,2,0.200514,1.70436,3.04569,0,0,-,0,0,0,-,0,1,0.066838,4.57839,1.01523,6.58352,141.598,21.6177,,,,,,,,229,NIA,4/5/2019,5-Feb,M,22,F344,WT,22.96572117,23,Older-Aged
Statistics-NRIP3B_MWM_SLI_Day01.xlsx,Block1,A119,44609,8:00:00 AM,Day01,Trial1,Train,SW,E,,1629.51,18.0993,79.5428,214766,67.8143,183099,103.255,278787,82.1102,221698,91.0129,245735,1,90.0652,0,100,3,9.40681,30.1552,10.4444,3,27.2531,25.4851,30.2593,5,36.3597,0,40.3704,6,15.6447,12.6758,17.3704,2,0.80058,76.4554,0.888889,0,0,-,0,0,0,-,0,2,0.200145,74.4873,0.222222,90.0652,1629.51,18.0993,7834.963716,93.47159898,,,,,,237,NIA,10/3/2021,3-Feb,F,4,F344,WT,4.501149929,5,Young Adult
Statistics-NRIP3B_MWM_SLI_Day01.xlsx,Block1,A119,44609,8:00:00 AM,Day01,Trial2,Train,SW,W,,302.945,3.50247,80.7097,209361,60.034,155728,111.993,290511,109.531,284123,69.7799,181009,1,86.6281,2,96.1852,1,1.76792,3.30234,1.96296,0,0,-,0,1,69.4826,19.5138,77.1481,2,15.3776,2.36835,17.0741,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-,0,86.6281,302.945,3.50247,5502.04771,79.49578194,,,,,,237,NIA,10/3/2021,3-Feb,F,4,F344,WT,4.501149929,5,Young Adult
Statistics-NRIP3B_MWM_SLI_Day01.xlsx,Block1,A119,44609,8:00:00 AM,Day01,Trial3,Train,SW,N,,449.767,5.55038,72.8973,177141,55.1593,134037,102.356,248725,65.0334,158031,96.8191,235271,1,81.1671,0,90.1445,1,5.23766,0,5.81697,2,29.6578,5.23766,32.9381,1,45.571,35.5961,50.6113,0,0,-,0,0,0,-,0,0,0,-,0,1,0.700578,6.00496,0.778065,0,0,-,0,81.1671,449.767,5.55038,6690.218455,110.0217695,,,,,,237,NIA,10/3/2021,3-Feb,F,4,F344,WT,4.501149929,5,Young Adult
Statistics-NRIP3B_MWM_SLI_Day02.xlsx,Block1,A119,44610,8:00:00 AM,Day02,Trial1,Train,SW,W,,855.154,27.0136,60.1816,57172.5,84.445,80222.7,58.5795,55650.5,65.6637,62380.5,70.7097,67174.3,1,31.6898,0,100,4,10.1074,2.96883,31.8947,4,11.0748,7.00512,34.9474,1,0.066715,24.3178,0.210525,3,7.87242,0,24.8421,1,0.200146,29.655,0.631578,0,0,-,0,2,0.200147,26.8196,0.631581,0,0,-,0,31.6898,855.154,27.0136,2168.620777,73.68321864,,,,,,237,NIA,10/3/2021,3-Feb,F,4,F344,WT,4.534005038,5,Young Adult
Statistics-NRIP3B_MWM_SLI_Day02.xlsx,Block1,A119,44610,8:00:00 AM,Day02,Trial2,Train,SW,S,,240.177,21.7279,65.9765,21904.2,58.5333,19433.1,93.7811,31135.3,101.013,33536.5,43.4121,14412.8,1,11.0872,0,100,0,0,-,0,0,0,-,0,1,4.9425,0,44.5783,1,4.10762,4.9425,37.0482,1,2.03711,9.05013,18.3735,0,0,-,0,0,0,-,0,0,0,-,0,11.0872,240.177,21.7279,392.9623624,47.46065739,,,,,,237,NIA,10/3/2021,3-Feb,F,4,F344,WT,4.534005038,5,Young Adult
Statistics-NRIP3B_MWM_SLI_Day02.xlsx,Block1,A119,44610,8:00:00 AM,Day02,Trial3,Probe,SW,N,,759.006,25.295,62.0093,55808.3,79.9322,71939,60.1611,54145,60.9263,54833.7,82.8668,74580.1,1,30.0396,0,100,3,14.7861,0.867809,49.2222,3,8.97849,0,29.8889,1,5.00659,7.40976,16.6667,1,0.700923,6.70884,2.33333,0,0,-,0,0,0,-,0,0,0,-,0,2,0.200264,23.7646,0.666667,30.0396,759.006,25.295,2230.542827,87.22491165,,,2.33333,29.8889,,237,NIA,10/3/2021,3-Feb,F,4,F344,WT,4.534005038,5,Young Adult
